localizacao,descricao,detalhe_segundario,data,qtd_noites,valor,avaliacao
Apartamento em São Paulo,Loft 825 : Cinema com banheira e vista!,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$1.872,"4,91 de uma avaliação média de 5, 162 avaliações
4,91 (162)"
Ônibus em Mairiporã,Refúgio Manjerico. 40 min de SP,"Cancelamento gratuito
Cancelamento gratuito","20 – 25 de jul.
20 – 25 de jul.",por 5 noites,R$2.956,"4,91 de uma avaliação média de 5, 145 avaliações
4,91 (145)"
Apartamento em São Paulo,Stay Alto | Studio luxuoso com banheira e vista,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$3.013,"4,98 de uma avaliação média de 5, 123 avaliações
4,98 (123)"
Pousada em São Roque,Chalé Margarida Sítio Lar da Terra /Café da manhã,"Cancelamento gratuito
Cancelamento gratuito","6 – 11 de jul.
6 – 11 de jul.",por 5 noites,R$2.900,"4,94 de uma avaliação média de 5, 177 avaliações
4,94 (177)"
Apartamento em São Paulo,Duque’s Loft - Conforto e luxo,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.824,"4,98 de uma avaliação média de 5, 88 avaliações
4,98 (88)"
Apartamento em São Paulo,Jacuzzi e Vista incrível - Estilo Grego - Niemeyer,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$1.563,"4,84 de uma avaliação média de 5, 50 avaliações
4,84 (50)"
Apartamento em São Paulo,Mirante Arcos: banheira e vista no 37º andar,"Cancelamento gratuito
Cancelamento gratuito","25 – 30 de jun.
25 – 30 de jun.",por 5 noites,R$3.079,"4,9 de uma avaliação média de 5, 39 avaliações
4,9 (39)"
Apartamento em São Paulo,"3606-1: apt com banheira, cinema,projetor, vista!","Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.396,"4,83 de uma avaliação média de 5, 103 avaliações
4,83 (103)"
Apartamento em São Paulo,Mini Rooftop - Celebre Momentos Especiais Aqui,"1 cama
1 cama","6 – 11 de jul.
6 – 11 de jul.",por 5 noites,R$2.037,"4,94 de uma avaliação média de 5, 240 avaliações
4,94 (240)"
Casa de hóspedes em Itapecerica da Serra,Descanso no lago 40min. de SP. Girassol,"Cancelamento gratuito
Cancelamento gratuito","4 – 9 de ago.
4 – 9 de ago.",por 5 noites,R$849,"5,0 de uma avaliação média de 5, 35 avaliações
5,0 (35)"
